id;name;status;created_at;updated_at;deleted_at;city_id
1;Hoàn Kiếm;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
2;Cầu Giấy;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
3;Hai Bà Trưng;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
4;Đống Đa;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
5;Ba Đình;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
6;Thanh Xuân;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
7;Bắc Từ Liêm;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
8;Nam Từ Liêm;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
9;Hà Đông;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
10;Long Biên;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
11;Tây Hồ;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
12;Hoàng Mai;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
13;Hà Đông;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
14;Gia Lâm;1;2019-12-03T12:13:45;2019-12-03T12:13:45;;1
